Species,scheme,dpsi,inst,source,genus,species,subsp,ID
Olea europaea var. Chemlali,SOX,FALSE,TRUE,Ennajeh et al. (2008),Olea,europaea,Chemlali,1635
Olea europaea var. Meski,SOX,FALSE,TRUE,Ennajeh et al. (2008),Olea,europaea,Meski,1634
Phlomis italica,SOX,FALSE,TRUE,Galmes et al. (2007),Phlomis,italica,NA,1628
Picea abies,SOX,FALSE,TRUE,Salmon et al. (2020),Picea,abies,NA,1609
Pinus sylvestris,SOX,FALSE,TRUE,Salmon et al. (2020),Pinus,sylvestris,NA,1608
Pistacia lentiscus,SOX,FALSE,TRUE,Galmes et al. (2007),Pistacia,lentiscus,NA,1623
Platycarya longipes,SOX,FALSE,FALSE,Liu et al. (2010),Platycarya,longipes,NA,1617
Populus tremula,SOX,FALSE,TRUE,Salmon et al. (2020),Populus,tremula,NA,1611
Pseudotsuga macrocarpa,SOX,FALSE,TRUE,Grieu et al. (1988),Pseudotsuga,macrocarpa,NA,1601
Pseudotsuga menziesii,SOX,FALSE,TRUE,Grieu et al. (1988),Pseudotsuga,menziesii,NA,1600
Pteroceltis tatarinowii,SOX,FALSE,FALSE,Liu et al. (2010),Pteroceltis,tatarinowii,NA,1618
Pyracantha fortuneana,SOX,FALSE,FALSE,Liu et al. (2010),Pyracantha,fortuneana,NA,1619
Quercus coccifera,SOX,FALSE,TRUE,Peguero-Pina et al. (2009),Quercus,coccifera,NA,1605
Quercus ilex,SOX,FALSE,TRUE,Peguero-Pina et al. (2009),Quercus,ilex,NA,1606
Quercus ilex,SOX,FALSE,TRUE,Epron and Dreyer (1990),Quercus,ilex,NA,1614
Quercus petraea,SOX,FALSE,TRUE,Epron and Dreyer (1990),Quercus,petraea,NA,1612
Quercus pubescens,SOX,FALSE,TRUE,Epron and Dreyer (1990),Quercus,pubescens,NA,1613
Quercus suber,SOX,FALSE,TRUE,Peguero-Pina et al. (2009),Quercus,suber,NA,1607
Rosa cymosa,SOX,FALSE,FALSE,Liu et al. (2010),Rosa,cymosa,NA,1620
